Jenis_Hewan,Usia,Jenis_Kelamin,Berat_Badan_kg,Gejala_1,Gejala_2,Gejala_3,Gejala_4,Durasi,Nafsu_Makan_Hilang,Muntah,Diare,Batuk,Kesulitan_Bernafas,Pincang,Lesi_Kulit,Keluar_Lendir_Hidung,Keluar_Cairan_Mata,Suhu_Tubuh,Detak_Jantung,Prediksi_Penyakit
Anjing,4,Jantan,25.0,Demam,Lesu,Kehilangan Nafsu Makan,Muntah,3 hari,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.5°C,120,Parvovirus
Kucing,2,Betina,4.5,Batuk,Bersin,Keluar Cairan Mata,Keluar Lendir Hidung,1 minggu,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,38.9°C,150,Infeksi Saluran Pernapasan Atas
Sapi,3,Betina,600.0,Demam,Keluar Lendir Hidung,Kesulitan Bernafas,Batuk,5 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,40.1°C,90,Penyakit Mulut dan Kuku
Anjing,1,Jantan,10.0,Diare,Muntah,Lesu,Kehilangan Nafsu Makan,2 hari,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.2°C,130,Gastroenteritis
Kucing,5,Jantan,3.8,Lesu,Kehilangan Nafsu Makan,Lesi Kulit,,2 minggu,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,38.7°C,160,Infeksi Jamur
Kuda,6,Betina,500.0,Batuk,Kesulitan Bernafas,Keluar Lendir Hidung,Demam,10 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,39.8°C,85,Influenza Kuda
Anjing,3,Betina,30.0,Pincang,Demam,Lesi Kulit,Lesu,7 hari,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,39.3°C,110,Penyakit Lyme
Kucing,2,Jantan,6.0,Muntah,Kehilangan Nafsu Makan,Lesu,Diare,4 hari,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.1°C,140,Parasit Usus
Anjing,5,Jantan,23.0,Kesulitan Bernafas,Batuk,Keluar Lendir Hidung,Kehilangan Nafsu Makan,6 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,40.0°C,115,Distemper Anjing
Sapi,4,Betina,580.0,Lesu,Penurunan Produksi Susu,Demam,,8 hari,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.6°C,70,Mastitis
